Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
1/2/2012,10,1224.6,1339,47.43,49.85,0.00,-2.42,34.92,36.62,0.00,-1.70,39,31
1/2/2012,11,1236.9,1376,42.47,44.52,0.00,-2.05,38.32,40.44,0.00,-2.12,42,29
1/2/2012,12,1219.0,1379,46.05,48.05,0.00,-2.00,38.02,40.09,0.00,-2.07,42,25
1/2/2012,13,1215.4,1365,42.53,44.38,0.00,-1.85,37.87,39.91,0.00,-2.04,42,21
1/2/2012,14,1187.8,1339,41.03,42.87,0.00,-1.84,35.87,38.09,0.00,-2.22,42,22
1/2/2012,15,1188.2,1335,37.08,38.67,0.00,-1.59,32.56,34.69,0.00,-2.13,42,21
1/2/2012,16,1214.5,1353,37.23,38.96,0.00,-1.73,32.75,34.67,0.00,-1.92,41,21
1/2/2012,17,1418.7,1513,64.64,66.92,0.00,-2.28,53.37,56.88,0.00,-3.51,40,20
1/2/2012,18,1493.7,1602,82.14,85.73,0.00,-3.59,194.31,208.66,0.00,-14.35,38,20
1/2/2012,19,1412.3,1561,78.18,82.36,0.00,-4.18,45.83,48.77,0.00,-2.94,36,20
1/2/2012,20,1378.0,1495,74.38,78.30,0.00,-3.92,53.93,57.27,0.00,-3.34,35,19
1/2/2012,21,1304.1,1429,56.63,58.68,0.00,-2.05,38.57,40.94,0.00,-2.37,34,19
1/2/2012,22,1169.1,1325,44.44,46.51,0.00,-2.07,24.18,25.66,0.00,-1.48,33,19
1/2/2012,23,1067.8,1231,43.93,46.40,0.00,-2.47,26.86,28.52,0.00,-1.66,32,18
1/2/2012,24,984.6,1142,38.23,40.14,0.00,-1.91,26.67,28.46,0.00,-1.79,31,17
1/3/2012,1,885.5,1075,35.01,37.17,0.00,-2.16,35.39,37.77,0.00,-2.38,29,17
1/3/2012,2,851.0,1044,34.07,36.12,0.00,-2.05,14.78,15.78,0.00,-1.00,29,17
1/3/2012,3,868.0,1028,29.49,30.88,0.00,-1.39,2.48,2.65,0.00,-0.17,30,18
1/3/2012,4,864.1,1038,29.41,30.75,0.00,-1.34,0.00,0.00,0.00,0.00,29,13
1/3/2012,5,884.1,1086,32.86,34.53,0.00,-1.67,0.00,0.00,0.00,0.00,28,9
1/3/2012,6,1035.4,1190,46.65,48.05,0.00,-1.40,0.00,0.00,0.00,0.00,27,10
1/3/2012,7,1193.2,1378,80.54,81.36,0.00,-0.82,40.02,41.87,0.00,-1.85,26,9
1/3/2012,8,1306.2,1466,80.28,80.75,0.00,-0.47,39.82,41.50,0.00,-1.68,25,11
1/3/2012,9,1316.1,1472,74.92,75.06,0.00,-0.14,30.53,31.91,0.00,-1.38,24,9
