STATION,NAME,DATE,AWND,PGTM,PRCP,PSUN,SNOW,SNWD,TSUN,WDF5,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT22
USW00014755,"MOUNT WASHINGTON, NH US",11/24/2017,48.09,,0,62,0,5.9,354,280,74,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",11/25/2017,46.75,,0.01,56,0.2,5.9,318,240,70.9,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",11/26/2017,56.59,,0.5,0,5.6,5.9,0,300,89,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",11/27/2017,58.38,,0.2,0,3.2,7.1,0,300,91,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",11/28/2017,49.44,,0,66,0,7.9,370,270,79,,,,,,,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",11/29/2017,62.41,,0.48,0,3.2,7.1,0,300,106.9,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",11/30/2017,37.36,,0.13,89,1.4,7.1,497,220,76.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",12/1/2017,41.38,,0.2,0,1.6,7.9,0,270,70,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",12/2/2017,19.01,,0,64,0,7.9,354,250,30,,,,,,,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",12/3/2017,16.55,,0,68,0,7.9,380,300,30,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",12/4/2017,16.78,,0,99,0,7.9,552,220,38.9,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",12/5/2017,46.53,,0.39,0,0.7,7.1,0,200,82.1,1,,,1,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",12/6/2017,53.02,,0.33,0,0.8,5.1,0,280,91,1,,,1,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",12/7/2017,50.11,,0.12,0,2.3,5.9,0,270,70.9,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",12/8/2017,39.37,,0.05,0,0.6,5.9,0,270,74.9,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",12/9/2017,19.01,,0.27,7,8.7,5.9,40,280,42.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",12/10/2017,45.86,,0.24,0,5.2,15,0,290,87.9,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",12/11/2017,39.82,,0.15,0,2.4,7.9,0,280,64,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",12/12/2017,39.15,,1.17,0,13.6,9.1,0,160,72,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",12/13/2017,47.2,,0.07,1,1.4,16.1,3,290,104,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",12/14/2017,66.88,,0,30,0,15,162,280,97.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",12/15/2017,43.84,,0,84,0,13,457,300,89,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",12/16/2017,39.59,,0.3,0,4.4,11.8,0,310,80.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",12/17/2017,42.95,,0,95,0,14.2,516,320,61.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",12/18/2017,42.05,,0.5,0,5.4,13,0,270,69.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",12/19/2017,56.59,,1.31,0,8.3,16.9,0,270,102,1,,1,1,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",12/20/2017,60.62,,0.42,0,5,20.9,0,300,94,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",12/21/2017,53.02,,0,100,0,22,543,300,84.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",12/22/2017,31.09,,0.39,0,6.2,22,0,230,55,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",12/23/2017,41.83,,0.47,0,3.1,25.2,0,300,89.9,1,,,1,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",12/24/2017,49.21,,0,0,0,25.2,0,290,91,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",12/25/2017,51,,0.69,0,9,25.2,0,280,104.9,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",12/26/2017,63.08,,0.07,0,1.7,27.2,0,270,91.9,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",12/27/2017,78.29,,0,3,0,24,18,300,104,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",12/28/2017,59.28,,0,65,0,22.8,355,310,116.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",12/29/2017,19.91,,0.03,6,0.7,22.8,35,310,46.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",12/30/2017,31.54,,0,55,0,22.8,300,300,50.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",12/31/2017,61.29,,0,71,0,22.8,386,300,101.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/1/2018,55.25,,0,89,0,22.8,488,310,79,1,,,,,,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/2/2018,53.91,,0.01,57,0.7,22.8,310,280,84.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/3/2018,39.15,,0,73,0,22.8,400,280,64,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/4/2018,49.88,,1.14,0,10.1,22.8,0,330,121.9,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/5/2018,66.66,,0.16,0,2.3,25.2,0,300,118.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/6/2018,83.66,,0,0,0,25.2,0,290,115,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/7/2018,65.54,,0.08,82,1,25.2,455,320,113,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/8/2018,65.99,,0.21,0,2.5,25.2,0,230,95.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/9/2018,71.58,,0.36,0,3.3,26,0,310,103.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/10/2018,40.26,,0,98,0,26,546,320,74,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/11/2018,62.41,,0.66,0,0.1,20.1,0,260,97.1,1,,,1,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/12/2018,51,,1.01,0,0,9.1,0,240,96,1,,,,,,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/13/2018,35.79,,1.21,36,0,2,215,330,81,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/14/2018,18.79,,0,98,0,1.2,551,310,38,,,,,,,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/15/2018,11.63,,0,93,0,1.2,525,150,23,,,,,,,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/16/2018,34.45,,0.04,0,1.3,1.2,0,270,53,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/17/2018,25.95,,0.11,0,2,1.2,0,250,42.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/18/2018,43.17,,0,100,0,2,571,280,79,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/19/2018,35.79,,0.01,82,0.2,2,471,280,70.9,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/20/2018,70.91,,0,0,0,1.2,0,290,104,1,,,1,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/21/2018,50.55,,0,0,0,1.2,0,300,91,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/22/2018,22.15,,0.09,0,0.8,1.2,0,170,55.9,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/23/2018,47.65,,0.63,0,1.5,2,0,270,86.1,1,,,1,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/24/2018,72.25,,0.1,63,1,2,370,280,102,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/25/2018,63.75,,0,,0,2,,310,91,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/26/2018,45.41,,0,100,0,2,588,310,94,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/27/2018,53.46,,0.07,37,0.5,2,220,260,95.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/28/2018,53.69,,0.07,7,0.8,3.1,40,260,91.9,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/29/2018,18.57,,0.01,31,0.1,3.1,185,300,40.9,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/30/2018,38.92,,0,0,0,2,0,310,82.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",1/31/2018,50.78,,0.09,78,1.1,2,465,240,97.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",2/1/2018,44.74,,0.17,0,2.5,3.1,0,260,85,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",2/2/2018,55.48,,0.39,0,3.5,5.9,0,290,91,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",2/3/2018,55.25,,0,0,0,5.9,0,300,94,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",2/4/2018,53.91,,0.91,1,9,5.9,7,210,106,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",2/5/2018,55.48,,0.1,28,1,11,171,290,95.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",2/6/2018,43.84,,0.16,0,2.7,9.1,0,280,63.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",2/7/2018,39.15,,0.5,0,8.2,9.8,0,250,94,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",2/8/2018,52.12,,0.1,51,1.8,11.8,315,290,101.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",2/9/2018,42.05,,0.15,3,2.3,11.8,17,250,70.9,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",2/10/2018,56.37,,0.48,0,4.8,13,0,250,89.9,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",2/11/2018,40.49,,0.11,0,0,13,0,250,101.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",2/12/2018,72.48,,0.08,17,0,9.8,110,260,110.1,1,,,,,1,,,,,,,,,,
