Date,Hr_End,DA_Demand,RT_Demand,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,Dry_Bulb,Dew_Point
4-Jan-18,04,873.00,"1,267.80",92.25,95.24,0.00,-2.99,122.71,125.53,0.00,-2.82,9,5
4-Jan-18,05,864.60,"1,295.90",106.24,109.80,0.00,-3.56,123.07,125.87,0.00,-2.80,11,6
4-Jan-18,06,962.10,"1,376.32",121.50,124.54,0.00,-3.04,121.10,124.08,0.00,-2.98,16,9
4-Jan-18,07,"1,190.40","1,487.96",142.66,144.67,0.00,-2.01,82.16,83.79,0.00,-1.63,17,8
4-Jan-18,08,"1,245.80","1,566.26",157.63,159.43,0.00,-1.80,120.14,122.69,0.00,-2.55,18,9
4-Jan-18,09,"1,221.90","1,630.50",154.71,157.43,0.00,-2.72,132.44,140.83,-4.20,-4.19,18,12
4-Jan-18,10,"1,162.80","1,691.55",155.85,159.92,0.00,-4.07,162.82,190.30,-21.09,-6.39,18,16
4-Jan-18,11,"1,141.30","1,734.77",166.18,170.76,0.00,-4.58,221.71,234.97,-4.38,-8.88,20,18
4-Jan-18,12,"1,116.90","1,746.38",153.52,158.76,-0.16,-5.08,290.76,302.05,-0.42,-10.87,21,19
4-Jan-18,13,"1,048.40","1,715.15",152.05,157.94,-0.70,-5.19,253.47,301.62,-37.21,-10.94,23,21
4-Jan-18,14,"1,010.00","1,689.28",147.84,153.87,-0.76,-5.27,218.22,264.10,-36.04,-9.84,25,23
4-Jan-18,15,992.70,"1,653.61",146.63,152.56,-0.75,-5.18,233.03,277.61,-33.66,-10.92,27,25
4-Jan-18,16,"1,006.70","1,642.53",147.92,153.77,-0.78,-5.07,261.31,297.42,-23.98,-12.13,28,27
4-Jan-18,17,"1,072.30","1,684.04",184.26,192.79,-1.17,-7.36,253.93,306.17,-40.34,-11.90,29,28
4-Jan-18,18,"1,115.60","1,710.63",202.04,212.89,-1.43,-9.42,300.79,361.28,-47.09,-13.40,30,29
4-Jan-18,19,"1,128.50","1,645.46",190.54,200.62,-1.26,-8.82,263.53,318.38,-42.61,-12.24,29,28
4-Jan-18,20,"1,085.90","1,567.79",175.28,183.95,-1.05,-7.62,247.63,298.65,-39.13,-11.89,28,27
4-Jan-18,21,911.10,"1,497.33",160.33,170.23,-1.01,-8.89,198.97,242.45,-32.92,-10.56,26,24
4-Jan-18,22,863.10,"1,406.71",144.27,151.34,-0.87,-6.20,144.16,175.93,-24.00,-7.77,25,21
4-Jan-18,23,678.30,"1,311.96",140.18,147.47,-0.96,-6.33,109.12,136.37,-21.15,-6.10,24,18
4-Jan-18,24,602.50,"1,249.41",137.41,142.69,-0.97,-4.31,133.48,146.42,-7.95,-4.99,24,15
5-Jan-18,01,500.00,"1,200.63",133.24,141.84,-1.62,-6.98,176.18,186.83,-2.50,-8.15,24,14
5-Jan-18,02,477.00,"1,175.11",133.75,142.48,-1.60,-7.13,156.61,166.76,-2.29,-7.86,23,13
5-Jan-18,03,462.60,"1,163.91",132.64,141.42,-1.58,-7.20,128.76,158.31,-21.74,-7.81,22,12
5-Jan-18,04,459.10,"1,173.74",135.10,144.06,-1.62,-7.34,106.57,135.27,-21.90,-6.80,20,10
5-Jan-18,05,519.30,"1,216.41",135.49,143.95,-1.62,-6.84,120.01,150.95,-23.51,-7.43,20,9
5-Jan-18,06,558.80,"1,307.60",147.65,157.70,-1.70,-8.35,127.79,139.99,-5.82,-6.38,18,7
5-Jan-18,07,796.00,"1,437.16",235.31,249.10,-2.20,-11.59,216.33,229.46,-3.22,-9.91,17,6
